Year,Title,Journal,Authors,Category,Endorsement
1991,Implications Of Global Climate Change For Biogeographic Patterns In The Greater Yellowstone Ecosystem,Conservation Biology,Romme| Wh; Turner| Mg,4,4
1991,Interpretation Of Snow-climate Feedback As Produced By 17 General-circulation Models,Science,Cess| Rd; Potter| Gl; Zhang| Mh; Blanchet| Jp; Chalita| S; Colman| R; Dazlich| Da; Delgenio| Ad; Dymnikov| V; Galin| V; Jerrett| D; Keup| E; Lacis| Aa; Letreut| H; Liang| Xz; Mahfouf| Jf; Mcavaney| Bj; Meleshko| Vp; Mitchell| Jfb; Morcrette| Jj; Norris| Pm; Randall| Da; Rikus| L; Roeckner| E; Royer| Jf; Schlese| U; Sheinin| Da; Slingo| Jm; Sokolov| Ap; Taylor| Ke; Washington| Wm; Wetherald| Rt; Yagai| I,4,3
1991,Is The Extent Of Glaciation Limited By Marine Gas-hydrates,Geophysical Research Letters,Paull| Ck; Ussler| W; Dillon| Wp,5,3
1991,Land-use Implications Of Sea-level Rise - A Case-study At Myrtle-beach| South-carolina,Coastal Management,London| Jb; Volonte| Cr,2,4
1991,Least-cost Greenhouse Planning - Supply Curves For Global Warming Abatement,Energy Policy,Jackson| T,3,3
1991,Likely Climatic Changes And Their Impact On The Northern Pastoral Industry,Tropical Grasslands,Russell| Js,2,4
1991,Limiting Emissions Of The Greenhouse Gas| Co2,Environmental Progress,Simpson| Tb,3,3
1991,Local-government And Public Adaptation To Sea-level Rise,Journal Of Urban Planning And Development-asce,Burby| Rj; Nelson| Ac,2,4
1991,Managing The Indus River Basin In Light Of Climate Change - 4 Conceptual Approaches,Global Environmental Change-human And Policy Dimensions,Wescoat| Jl,2,4
1991,Mercury And Monomethylmercury - Present And Future Concerns,Environmental Health Perspectives,Fitzgerald| Wf; Clarkson| Tw,2,4
1991,Microwave Sounding Units And Global Warming - Response,Science,Spencer| Rw; Christy| Jr,4,4
1991,Mitigation Options And Economic Consequences,Marine Technology Society Journal,Miller| A,3,3
1991,Model Estimates Of Co2 Emissions From Soil In Response To Global Warming,Nature,Jenkinson| Ds; Adams| De; Wild| A,2,2
1991,Modeling Of The Chemistry Of Wet Limestone Flue-gas Desulfurization Systems,Energy & Fuels,Littlejohn| D; Chang| Sg,3,4
1991,Modification Of The Response Of Photosynthetic Productivity To Rising Temperature By Atmospheric Co2 Concentrations - Has Its Importance Been Underestimated,Plant Cell And Environment,Long| Sp,2,4
1991,Mycorrhizal Mediation Of Plant-response To Atmospheric Change - Air-quality Concepts And Research Considerations,Environmental Pollution,Shafer| Sr; Schoeneberger| Mm,2,3
1991,National Legislation And Other Options For Addressing Potential Global Warming,Marine Technology Society Journal,Schneider| C,3,3
1991,Near-future Sea-level Impacts On Coastal Dune Landscapes,Landscape Ecology,Carter| Rwg,2,4
1991,New Assessments Of Global Climate Change,Atmosfera,Kondratyev| Ky,4,4
1991,Ocean Circulation And Ocean-atmosphere Exchanges,Climatic Change,Stanton| Br,4,4
1991,On Determining The Statistical Significance Of Discontinuities Within Ordered Ecological Data,Ecology,Cornelius| Jm; Reynolds| Jf,4,4
1991,Opportunities For Carbon Emissions Control In Poland,Energy Policy,Sitnicki| S; Budzinski| K; Juda| J; Michna| J; Szpilewicz| A,3,3
1991,Passive-solar Schools In The Uk,Applied Energy,Harris| Dj; Probert| Sd; Nwokonkor| I,3,2
1991,Perturbations To Tropospheric Oxidants| 1985-2035 .2. Calculations Of Hydrogen-peroxide In Chemically Coherent Regions,Atmospheric Environment Part A-general Topics,Thompson| Am; Huntley| Ma; Stewart| Rw,2,4
1991,Photovoltaics And Materials Science - Helping To Meet The Environmental Imperatives Of Clean-air And Climate Change,Journal Of Crystal Growth,Moomaw| Wr,3,2
1991,Planning For Future Uncertainties In Electric-power Generation - An Analysis Of Transitional Strategies For Reduction Of Carbon And Sulfur Emissions,Ieee Transactions On Power Systems,Tabors| Rd; Monroe| Bl,3,3
1991,Policy Implications Of Global Warming For The Northwest,Northwest Environmental Journal,Fleagle| Rg,2,4
1991,Possible Biogeochemical Consequences Of Ocean Fertilization,Limnology And Oceanography,Fuhrman| Ja; Capone| Dg,3,4
1991,Possible Impact Of Global Warming On Cabbage Root Fly (delia-radicum) Activity In The Uk,Annals Of Applied Biology,Collier| Rh; Finch| S; Phelps| K; Thompson| Ar,2,4
1991,Possible Impacts Of Climatic Warming Scenarios On Water-resources In The Saskatchewan River Subbasin| Canada,Climatic Change,Cohen| Sj,2,3
1991,Potential Effects Of Global Warming On Whitefish In Lake Constance| Germany,Ambio,Trippel| Ea; Eckmann| R; Hartmann| J,2,3
1991,Potential Impacts Of Global Climate Change On Pacific-northwest Spring Chinook Salmon (oncorhynchus-tshawytscha) - An Exploratory Case-study,Northwest Environmental Journal,Chatters| Jc; Neitzel| Da; Scott| Mj; Shankle| Sa,2,2
1991,Precision Tropospheric Temperature Monitoring 1979-1990,Global And Planetary Change,Spencer| Rw; Christy| Jr; Grody| Nc,4,4
1991,Predicting Climate Change For The Pacific-northwest,Northwest Environmental Journal,Leovy| C; Sarachik| Es,4,3
1991,Project Phoenix - Confronting Global Warming With Solar Power,Space Power,Owen| Cl,3,4
1991,Promoting Energy-conservation In Small And Medium-sized Companies,Energy Policy,Gruber| E; Brand| M,3,3
1991,Quaternary And Tertiary Microfossils From Beneath Ice Stream-b - Evidence For A Dynamic West Antarctic Ice-sheet History,Global And Planetary Change,Scherer| Rp,5,3
1991,Reconstruction Of Past Changes In Salinity And Climate Using A Diatom-based Transfer-function,Nature,Fritz| Sc; Juggins| S; Battarbee| Rw; Engstrom| Dr,5,4
1991,Reduced Postfire Tree Regeneration Along A Boreal Forest Forest-tundra Transect In Northern Quebec,Ecology,Sirois| L; Payette| S,2,4
1991,Reducing Carbon-dioxide Emissions From Australian Energy Use,Science Of The Total Environment,Marks| R,3,3
1991,Remote-sensing Of Permafrost By Ground-penetrating Radar At 2 Airports In Arctic Canada,Arctic,Judge| As; Tucker| Cm; Pilon| Ja; Moorman| Bj,2,4
1991,Research In The Mountains Of The Island Of New-guinea,Mountain Research And Development,Brookfield| H,2,4
1991,Response To Skeptics Of Global Warming,Bulletin Of The American Meteorological Society,Kellogg| Ww,3,2
1991,Revised Projection Of Future Greenhouse Warming,Nature,Schlesinger| Me; Jiang| Xj,2,3
1991,Sea-level As An Indicator Of Climate And Global Change,Marine Technology Society Journal,Parker| Bb,4,3
1991,Sensitivity Of Oxidant Concentrations On Changes In Uv-radiation And Temperature,Atmospheric Environment Part A-general Topics,Deleeuw| Faam; Leyssius| Hjv,2,3
1991,Solar Power Satellites - Energy-source For The Greenhouse Century,Space Power,Hoffert| Mi; Potter| Sd; Kadiramangalam| Mn; Tubiello| F,3,2
1991,Some Consequences Of Long-term Human Impacts On Ecosystems,Revista Chilena De Historia Natural,Likens| Ge,2,4
1991,Sources And Sinks Of Methane In Sweden,Ambio,Svensson| Bh; Lantsheer| Jc; Rodhe| H,4,4
1991,South-african Sea-level Measurements In The Global Context Of Sea-level Rise,South African Journal Of Science,Hughes| P; Brundrit| Gb; Shillington| Fa,2,3
1991,Southern-hemisphere Climate Scenarios,Climatic Change,Pittock| Ab; Salinger| Mj,4,3
1991,Temperature Effect On Growth And Development Of Cotton During The Fruiting Period,Agronomy Journal,Reddy| Vr; Reddy| Kr; Baker| Dn,2,4
1991,The Conflict Over Global Warming - The Application Of Scientific-research To Policy Choices,Global Environmental Change-human And Policy Dimensions,Mohnen| Va; Goldstein| W; Wang| Wc,3,3
1991,The Economic-impact Of Crop Losses - A Computable General Equilibrium Approach,Western Journal Of Agricultural Economics,Sherony| Kr; Knowles| Gj; Boyd| R,2,4
1991,The Effect Of Potential Climatic Changes On The Geographical-distribution Of The Plant-parasitic Nematodes Xiphinema And Longidorus In Europe,Nematologica,Boag| B; Crawford| Jw; Neilson| R,2,4
1991,The Midcretaceous Super Plume| Carbon-dioxide| And Global Warming,Geophysical Research Letters,Caldeira| K; Rampino| Mr,5,3
1991,The Possible Dynamic-response Of Northern Forests To Global Warming,Global Ecology And Biogeography Letters,Prentice| Ic; Sykes| Mt; Cramer| W,2,3
1991,The Potential Impacts Of Climate Change On The Great-lakes,Bulletin Of The American Meteorological Society,Smith| Jb,2,3
1991,The Role Of Passenger Transport In Co2 Reduction Strategies,Energy Policy,Hughes| P,3,4
1991,The United-states-department-of-energy Biofuels Research-program,Energy Sources,Bull| Sr,3,3
1991,The Use Of Analogies In Forecasting Ecological And Societal Responses To Global Warming,Environment,Glantz| Mh,3,4
1991,The Vigil Network - A Means Of Observing Landscape Change In Drainage Basins,Hydrological Sciences Journal-journal Des Sciences Hydrologiques,Osterkamp| Wr; Emmett| Ww; Leopold| Lb,2,4
1991,Thermal Response Of The Active Layer To Climatic Warming In A Permafrost Environment,Cold Regions Science And Technology,Kane| Dl; Hinzman| Ld; Zarling| Jp,2,4
1991,Tidal-creek Extension And Saltwater Intrusion In Northern Australia,Geology,Knighton| Ad; Mills| K; Woodroffe| Cd,2,4
1991,Time| Frequency And Space Geodesy - Impact On The Study Of Climate And Global Change,Proceedings Of The Ieee,Macdoran| Pf; Born| Gh,4,3
1991,Toward Climate Conventions Scenario Analysis For A Climatic Protection Policy,Ambio,Bach| W; Jain| Ak,3,3
1991,Upper Limit For Sea Ice Albedo Feedback Contribution To Global Warming,Journal Of Geophysical Research-atmospheres,Covey| C; Taylor| Ke; Dickinson| Re,4,3
1991,Upper Temperature Limits For Trout In New-zealand And Climate Change,Hydrobiologia,Scott| D; Poynter| M,2,4
1991,Use Of Cosmogenic S-35 To Determine The Rates Of Removal Of Atmospheric So2,Nature,Tanaka| N; Turekian| Kk,4,4
1991,Vegetation And Wildland Fire - Implications Of Global Climate Change,Environment International,Ryan| Kc,2,3
1991,What Role Can Nuclear-power Play In Mitigating Global Warming,Energy Policy,Pasztor| J,3,4
1992,A Comparison Of Aggregate Energy Demand Models For Global Warming Policy Analyses,Energy Policy,Beaver| Rd; Huntington| Hg,4,3
1992,A Detailed Chronology Of The Australasian Impact Event| The Brunhes-matuyama Geomagnetic Polarity Reversal| And Global Climate Change,Earth And Planetary Science Letters,Schneider| Da; Kent| Dv; Mello| Ga,5,4
1992,A Deterministic Approach To The Validation Of Historical Daily Temperature And Precipitation Data From The Cooperative Network,Bulletin Of The American Meteorological Society,Reek| T; Doty| Sr; Owen| Tw,4,4
1992,A Geological Perspective On Global Warming And The Possibility Of Carbon-dioxide Removal As Calcium-carbonate Mineral,Energy Conversion And Management,Dunsmore| He,3,4
1992,A Global Inventory Of Volatile Organic-compound Emissions From Anthropogenic Sources,Journal Of Geophysical Research-atmospheres,Piccot| Sd; Watson| Jj; Jones| Jw,4,4
1992,A Model-based Approach To The Calculation Of Global Warming Potentials (gwp),International Journal Of Climatology,Rotmans| J; Denelzen| Mgj,4,4
1992,A Modeling Study Of The North-atlantic With Emphasis On The Greenland-iceland-norwegian Sea,Ibm Systems Journal,Aukrust| T; Oberhuber| Jm; Farrell| Ej; Haugan| Pm,4,3
1992,A New Subspecies Of Chamaea-fasciata (wrentit) From Oregon (aves| Timaliinae),Proceedings Of The Biological Society Of Washington,Browning| Mr,2,4
1992,A Technology For Reduction Of Co2 Emissions From The Transportation Sector,Energy Conversion And Management,Borgwardt| Rh,3,4
1992,Absorption-coefficients Of Cfc-11 And Cfc-12 Needed For Atmospheric Remote-sensing And Global Warming Studies,Journal Of Quantitative Spectroscopy & Radiative Transfer,Varanasi| P,4,4
1992,Accretion Rates Of Low Intertidal Salt Marshes In The Pacific-northwest,Wetlands,Thom| Rm,2,4
1992,Alternative Energy-resources - A Kenyan Perspective,Energy Sources,Othieno| H,3,2
1992,An Assessment Of A Latitude-temperature Index For Predicting Climate Suitability For Grapes In Europe,Journal Of Horticultural Science,Kenny| Gj; Shao| J,2,4
1992,An Assessment Of Global Warming Stress On Caribbean Coral-reef Ecosystems,Bulletin Of Marine Science,Atwood| Dk; Hendee| Jc; Mendez| A,2,4
1992,An Evaluation Of Global Warming And Its Impact,Current Science,Rao| Ur; Chakravarty| Sc,2,2
1992,An Improved Process For Converting Cellulose To Ethanol,Tappi Journal,Goldstein| Is; Easter| Jm,3,3
1992,An Interactive Hybrid Expert System For Polar Cloud And Surface Classification,Environmetrics,Rabindra| P; Sengupta| Sk; Welch| Rm,4,4
1992,An Optimal Transition Path For Controlling Greenhouse Gases,Science,Nordhaus| Wd,3,3
1992,An Overview Of Global Warming,Environmental Toxicology And Chemistry,Mohnen| Va; Wang| Wc,4,2
1992,Analyzing The Cost Of An Oecd Environmental Tax To The Developing-countries,Energy Policy,Walker| Io; Birol| F,3,4
1992,Application Of Geoprocessing And Simulation Modeling To Estimate Impacts Of Sea-level Rise On The Northeast Coast Of Florida,Photogrammetric Engineering And Remote Sensing,Lee| Jk; Park| Ra; Mausel| Pw,2,4
1992,Arable Lands,Agriculture Ecosystems & Environment,Orians| Gh; Lack| P,4,4
1992,Assessing The Sensitivity Of Canada Ecosystems To Climatic-change,Climatic Change,Rizzo| B; Wiken| E,4,3
1992,Assessing The Value Of Historical Temperature-measurements,Endeavour,Mcconnell| A,4,4
1992,Assessment| Based On A Climosequence Of Soils In Tussock Grasslands| Of Soil Carbon Storage And Release In Response To Global Warming,Journal Of Soil Science,Tate| Kr,2,3
1992,Bacterial-growth In The Cold - Evidence For An Enhanced Substrate Requirement,Applied And Environmental Microbiology,Wiebe| Wj; Sheldon| Wm; Pomeroy| Lr,2,4
1992,Biomass Energy| Forests And Global Warming,Energy Policy,Rosillocalle| F; Hall| Do,3,4
1992,California Clean-air Initiatives - The Role Of Fuel-cells,Journal Of Power Sources,Lloyd| Ac,3,4
1992,Carbon Storage In Upland Forests Of The Lake States,Soil Science Society Of America Journal,Grigal| Df; Ohmann| Lf,2,4
1992,Carbon Tax As A Dynamic Optimization Problem,Lecture Notes In Control And Information Sciences,Kypreos| S,3,2
1992,Changes In Location Of Natural Zones As A Result Of Global Warming,Soviet Journal Of Ecology,Kobak| Ki; Kondrasheva| Ny,2,4
1992,Chlorofluorocarbons In The Atmosphere - Trends And Vertical Profiles,Pure And Applied Chemistry,Tominaga| T,2,3
1992,Chp Development - Impacts Of Energy Markets And Government Policies,Energy Policy,Unterwurzacher| E,3,4
1992,Classifying Plants Into Groups On The Basis Of Associations Of Individual Traits Evidence From Australian Semiarid Woodlands,Journal Of Ecology,Leishman| Mr; Westoby| M,2,4
1992,Climate Change In Thailand And Its Potential Impact On Rice Yield,Climatic Change,Bachelet| D; Brown| D; Bohm| M; Russell| P,2,3
1992,Climate Change Management Strategies - Lessons From A Theory Of Large-scale Policy,Global Environmental Change-human And Policy Dimensions,Rhodes| Sl,3,3
1992,Climate Forcing By Anthropogenic Aerosols,Science,Charlson| Rj; Schwartz| Se; Hales| Jm; Cess| Rd; Coakley| Ja; Hansen| Je; Hofmann| Dj,4,2
1992,Co2 Separation And Recycling - A Route To Zero Net Production Of Co2 In The Alberta Energy Industry,Energy Conversion And Management,Chakma| A,3,3
1992,Co2lt An Automated| Null-balance System For Studying The Effects Of Elevated Co2 And Global Climate Change On Unmanaged Ecosystems,Functional Ecology,Oechel| Wc; Riechers| G; Lawrence| Wt; Prudhomme| Tj; Grulke| N; Hastings| Sj,2,4
1992,Coastal Defense - The Retreat Option,Journal Of The Institution Of Water And Environmental Management,Brooke| Js; Monnery| T; Clarks| Wsm; Shaw| Tl; Child| M; Mcdonald| C; Tinkler| Ba,3,3
1992,Cumulus Cloud-base Height Estimation From High Spatial-resolution Landsat Data - A Hough Transform Approach,Ieee Transactions On Geoscience And Remote Sensing,Berendes| T; Sengupta| Sk; Welch| Rm; Wielicki| Ba; Navar| M,4,4
1992,Deriving Global Climate Sensitivity From Paleoclimate Reconstructions,Nature,Hoffert| Mi; Covey| C,5,2
1992,Dispersal Can Limit Local Plant-distribution,Conservation Biology,Primack| Rb; Miao| Sl,2,4
1992,Ecological Engineering - An Idea Whose Time Has Come,Trends In Ecology & Evolution,Berryman| Aa; Valenti| Ma; Harris| Mj; Fulton| Dc,4,3
1992,Ecological Implications Of Projected Climate Change Scenarios In Forest Ecosystems In Northern Michigan| Usa,International Journal Of Biometeorology,Reed| Dd; Desanker| Pv,2,4
1992,Economic-implications Of Global Climate Change For World Agriculture,Journal Of Agricultural And Resource Economics,Tobey| J; Reilly| J; Kane| S,2,4
1992,Economic-issues In Global Climate Change,Global Environmental Change-human And Policy Dimensions,Tobey| Ja,3,4
1992,Economics And The Greenhouse-effect,Climatic Change,Green| C,2,2
1992,Ecosystem-level Changes That May Be Expected In A Changing Global Climate - A British-columbia Perspective,Environmental Toxicology And Chemistry,Kimmins| Jp; Lavender| Dp,2,4
1992,Effect Of Global Warming On The Distribution Of Parasitic And Other Infectious-diseases - A Review,Journal Of The Royal Society Of Medicine,Cook| Gc,2,4
1992,Effects Of Boreal Forest Vegetation On Global Climate,Nature,Bonan| Gb; Pollard| D; Thompson| Sl,2,4
1992,Effects Of Climate Change And A Doubling Of Co2 On Vegetation Diversity,Journal Of Experimental Botany,Rochefort| L; Woodward| Fi,2,3
1992,Eggs| Enzymes| And Evolution - Natural Genetic-variants Change Insect Fecundity,Proceedings Of The National Academy Of Sciences Of The United States Of America,Watt| Wb,2,4
1992,Energy Development| Regional Cooperation| And Co2 Emissions In Central-america,Energy Policy,Hosier| Rh; Bernstein| Ma; Hildebrandt| E,3,4
1992,Energy Paybacks And Renewable Breeders,Energy,Gusdorf| J,3,3
1992,Energy| Efficiency| And The Environment - 3 Big Es Of Transportation,Journal Of Engineering For Gas Turbines And Power-transactions Of The Asme,Springer| Kj,4,4
1992,Environmental Auditing - Estimating And Reducing Corporate Greenhouse-gas Emissions Using Monitoring And Targeting Software Systems,Applied Energy,Martin| Pk; Ocallaghan| P; Probert| D,3,4
